@relation mdl_assign
@attribute course {339,340,341,338,6,438,611,472,462,203,267,194,108,91,252,629,209,224,8,47,269,111,437,275,559,2,672,575,497,217,459,588,190,268,610,395,612,77,165,78,569,510,202,616,574,226,606,253,513,227,608,86,128,630,657,507,597,614,250,24,599,214,251,570,648,25,171,118,650,82,311,61,104,577,62,218,256,63,282,87,479,548,464,162,296,210,631,222,297,523,196,249,298,488,68,113,288,357,509,386,469,528,199,274,69,225,263,387,471,601,70,457,27,81,388,60,279,71,291,458,181,265,474,204,280,72,119,255,189,231,266,391,281,343,623,73,120,293,378,515,233,206,245,502,626,74,257,294,379,517,653,193,393,678,64,208,246,283,258,519,654,65,247,284,221,259,381,195,486,66,248,286,355,383,238,333,487,67,211,287,223,384,524,52,95,197,273,404,552,79,169,262,300,671,53,96,405,489,115,358,80,170,536,59,97,406,492,117,511,649,264,309,98,408,493,7,216,38,389,675,409,620,514,651,39,476,676,106,205,410,500,557,10,460,652,392,478,345,11,589,48,235,414,504,13,75,160,220,380,591,49,236,320,485,549,110,417,505,14,76,465,521,593,50,93,322,402,550,506,15,467,666,51,94,403,613,112,356,16,168,669,239,337,690,212,444,640,240,553,615,289,446,307,241,554,215,290,363,538,674,242,555,617,366,543,607,243,556,292,369,85,312,544,244,315,545,609,677,411,558,219,318,109,351,295,686,353,560,237,271,687,563,260,595,272,551,688,565,638,261,468}
@attribute alwaysshowdescription {1,0}
@attribute nosubmissions {0,1}
@attribute submissiondrafts {0,1}
@attribute sendnotifications {0,1}
@attribute sendlatenotifications {0,1}
@attribute grade {10,100,2,1,0,20,-2,6,3,4}
@attribute requiresubmissionstatement {0,1}
@attribute teamsubmission {0,1}
@attribute requireallteammemberssubmit {0,1}
@attribute attemptreopenmethod {none,untilpass,manual}
@attribute maxattempts {-1,1}
@attribute sendstudentnotifications {1,0}
@attribute preventsubmissionnotingroup {0,1}
@data
39,1,0,0,0,0,10,0,0,0,none,-1,1,0
38,1,0,0,0,0,10,0,0,0,none,-1,1,0
94,1,0,0,0,0,10,0,0,0,none,-1,1,0
16,1,0,0,0,0,10,0,0,0,none,-1,1,0
51,1,0,0,0,0,10,0,0,0,none,-1,1,0
48,1,0,0,0,0,10,0,0,0,none,-1,1,0
52,1,0,0,0,0,10,0,0,0,none,-1,1,0
49,1,0,0,0,0,10,0,0,0,none,-1,1,0
53,1,0,0,0,0,10,0,0,0,none,-1,1,0
50,1,0,0,0,0,10,0,0,0,none,-1,1,0
75,1,0,0,0,0,10,0,0,0,none,-1,1,0
75,1,0,0,0,0,10,0,0,0,none,-1,1,0
62,1,1,0,0,0,10,0,0,0,none,-1,1,0
62,1,0,0,0,0,2,0,0,0,none,-1,1,0
62,1,0,0,0,0,2,0,0,0,none,-1,1,0
106,1,0,0,0,0,10,0,0,0,none,-1,1,0
76,1,0,0,0,0,10,0,0,0,none,-1,1,0
106,1,0,0,0,0,10,0,0,0,none,-1,1,0
112,1,0,0,0,0,10,0,0,0,none,-1,1,0
39,1,0,0,0,0,10,0,0,0,none,-1,1,0
38,1,0,0,0,0,10,0,0,0,none,-1,1,0
94,1,0,0,0,0,10,0,0,0,none,-1,1,0
16,1,0,0,0,0,10,0,0,0,none,-1,1,0
76,1,0,0,0,0,10,0,0,0,none,-1,1,0
112,1,0,0,0,0,10,0,0,0,none,-1,1,0
115,1,0,1,1,0,10,0,0,0,untilpass,-1,1,0
115,1,0,1,1,0,0,0,0,0,none,-1,1,0
98,1,0,1,1,0,10,0,0,0,none,-1,1,0
98,1,0,1,0,1,10,0,0,0,none,-1,1,0
97,1,0,0,0,0,10,0,0,0,none,-1,1,0
97,1,0,1,1,0,10,0,0,0,none,-1,1,0
110,1,0,1,1,0,10,0,0,0,none,-1,1,0
110,1,0,1,1,0,10,0,0,0,none,-1,1,0
113,1,0,1,1,0,10,0,0,0,none,-1,1,0
113,1,0,1,1,0,10,0,0,0,none,-1,1,0
113,1,0,1,1,0,10,0,0,0,none,-1,1,0
79,1,0,1,1,0,10,0,0,0,none,-1,1,0
79,1,0,1,1,0,10,0,0,0,none,-1,1,0
80,1,0,1,1,0,10,0,0,0,none,-1,1,0
80,1,0,1,1,0,10,0,0,0,none,-1,1,0
165,1,0,1,0,0,2,0,0,0,none,-1,1,0
165,1,0,1,0,0,10,0,0,0,none,-1,1,0
165,1,0,1,0,0,10,0,0,0,none,-1,1,0
165,1,0,1,0,0,10,0,0,0,none,-1,1,0
165,1,0,1,0,0,100,0,0,0,none,-1,1,0
13,1,0,0,0,0,10,0,0,0,none,-1,1,0
13,1,0,0,0,0,10,0,0,0,none,-1,1,0
109,1,0,0,0,0,10,0,0,0,none,-1,1,0
128,1,0,0,0,0,10,0,0,0,none,-1,1,0
128,1,0,0,0,0,10,0,0,0,none,-1,1,0
162,1,0,0,0,0,10,0,0,0,none,-1,1,0
162,1,0,0,0,0,10,0,0,0,none,-1,1,0
73,1,0,0,0,0,2,0,0,0,none,-1,1,0
73,1,0,0,0,0,2,0,0,0,none,-1,1,0
27,1,0,0,0,0,10,0,0,0,none,-1,1,0
10,1,0,0,0,0,0,0,0,0,none,-1,1,0
7,1,0,0,0,0,10,0,0,0,none,-1,1,0
70,0,0,0,0,0,10,0,0,0,none,-1,1,0
60,1,0,0,0,0,2,0,0,0,none,-1,1,0
59,1,0,0,0,0,2,0,0,0,none,-1,1,0
69,1,0,0,0,0,10,0,0,0,none,-1,1,0
168,1,0,0,0,0,10,0,0,0,none,-1,1,0
168,1,0,0,0,0,10,0,0,0,none,-1,1,0
108,1,0,0,0,0,10,0,0,0,none,-1,1,0
108,1,0,0,0,0,10,0,0,0,none,-1,1,0
171,1,0,0,0,0,10,0,0,0,none,-1,1,0
171,0,0,0,0,0,10,0,0,0,none,-1,1,0
61,1,0,0,0,0,10,0,0,0,none,-1,1,0
61,1,0,0,0,0,10,0,0,0,none,-1,1,0
61,1,0,0,0,0,10,0,0,0,none,-1,1,0
61,1,0,0,0,0,10,0,0,0,none,-1,1,0
169,1,0,0,0,0,10,0,0,0,none,-1,1,0
169,1,0,0,0,0,10,0,0,0,none,-1,1,0
171,1,0,0,0,0,10,0,0,0,none,-1,1,0
171,1,0,0,0,0,10,0,0,0,none,-1,1,0
11,1,0,0,0,0,10,0,0,0,none,-1,1,0
119,1,0,0,0,0,10,0,0,0,none,-1,1,0
74,1,0,0,0,0,10,0,0,0,none,-1,1,0
170,0,0,0,0,0,10,0,0,0,none,-1,1,0
8,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,-2,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
170,0,0,0,0,0,10,0,0,0,none,-1,1,0
15,1,0,0,0,0,10,0,0,0,none,-1,1,0
15,1,0,0,0,0,10,0,0,0,none,-1,1,0
51,1,0,0,0,0,2,0,0,0,none,-1,1,0
48,1,0,0,0,0,2,0,0,0,none,-1,1,0
52,1,0,0,0,0,2,0,0,0,none,-1,1,0
49,1,0,0,0,0,2,0,0,0,none,-1,1,0
53,1,0,0,0,0,2,0,0,0,none,-1,1,0
50,1,0,0,0,0,2,0,0,0,none,-1,1,0
93,1,0,0,0,0,10,0,0,0,none,-1,1,0
93,1,0,0,0,0,10,0,0,0,none,-1,1,0
69,1,0,0,0,0,10,0,0,0,none,-1,1,0
14,1,0,0,0,0,10,0,0,0,none,-1,1,0
14,1,0,0,0,0,10,0,0,0,none,-1,1,0
96,1,0,0,0,0,10,0,0,0,none,-1,1,0
96,1,0,0,0,0,10,0,0,0,none,-1,1,0
95,1,0,0,0,0,10,0,0,0,none,-1,1,0
95,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,-2,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
2,0,0,0,0,0,10,0,0,0,none,-1,1,0
2,0,0,0,0,0,10,0,0,0,none,-1,1,0
8,1,0,0,0,0,10,0,0,0,none,-1,1,0
6,1,0,0,0,0,10,0,0,0,none,-1,1,0
2,0,0,0,0,0,10,0,0,0,none,-1,1,0
181,1,0,0,0,0,10,0,0,0,none,-1,1,0
181,1,0,1,0,0,2,1,0,0,none,-1,1,0
181,1,0,0,0,0,10,0,0,0,none,-1,1,0
2,0,0,0,0,0,10,0,0,0,none,-1,1,0
300,1,0,0,0,0,10,0,0,0,none,-1,1,0
300,1,0,0,0,0,10,0,0,0,none,-1,1,0
297,0,1,0,0,0,0,0,0,0,none,-1,1,0
297,1,0,0,0,0,1,0,0,0,none,-1,1,0
298,0,1,0,0,0,10,0,0,0,none,-1,1,0
298,1,0,0,0,0,1,0,0,0,none,-1,1,0
296,0,1,0,0,0,10,0,0,0,none,-1,1,0
296,1,0,0,0,0,1,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
272,1,0,1,0,1,2,1,0,0,manual,-1,1,0
271,1,0,1,0,1,2,1,0,0,manual,-1,1,0
195,1,0,0,0,0,10,0,0,0,none,-1,1,0
195,1,0,0,0,0,10,0,0,0,none,-1,1,0
195,1,0,0,0,0,10,0,0,0,none,-1,1,0
279,1,0,0,0,0,10,0,0,0,none,-1,1,0
279,1,0,0,0,0,10,0,0,0,none,-1,1,0
279,1,0,0,0,0,10,0,0,0,none,-1,1,0
268,1,0,0,0,0,10,0,0,0,none,-1,1,0
268,1,0,0,0,0,10,0,0,0,none,-1,1,0
268,1,0,0,0,0,10,0,0,0,none,-1,1,0
268,1,0,0,0,0,10,0,0,0,none,-1,1,0
268,1,0,0,0,0,10,0,0,0,none,-1,1,0
268,1,0,0,0,0,10,0,0,0,none,-1,1,0
287,1,0,0,0,0,10,0,0,0,none,-1,1,0
287,1,0,0,0,0,10,0,0,0,none,-1,1,0
287,1,0,0,0,0,10,0,0,0,none,-1,1,0
247,1,0,0,0,0,10,0,0,0,none,-1,1,0
247,1,0,0,0,0,10,0,0,0,none,-1,1,0
247,1,0,0,0,0,10,0,0,0,none,-1,1,0
204,1,0,0,0,0,10,0,0,0,none,-1,1,0
204,1,0,0,0,0,10,0,0,0,none,-1,1,0
204,1,0,0,0,0,10,0,0,0,none,-1,1,0
266,1,0,0,0,0,10,0,0,0,none,-1,1,0
266,1,0,0,0,0,10,0,0,0,none,-1,1,0
266,1,0,0,0,0,10,0,0,0,none,-1,1,0
193,1,0,0,0,0,10,0,0,0,none,-1,1,0
193,1,0,0,0,0,10,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
269,1,0,0,1,1,100,0,0,0,none,-1,1,0
223,1,0,0,0,0,10,0,0,0,none,-1,1,0
226,1,0,0,0,0,10,0,0,0,none,-1,1,0
225,1,0,0,0,0,10,0,0,0,none,-1,1,0
274,1,0,0,0,0,10,0,0,0,none,-1,1,0
226,1,0,0,0,0,10,0,0,0,none,-1,1,0
225,1,0,0,0,0,10,0,0,0,none,-1,1,0
274,1,0,0,0,0,10,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
194,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
203,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
267,1,0,0,1,1,100,0,0,0,none,-1,1,0
312,1,0,0,0,0,10,0,0,0,none,-1,1,0
307,1,0,0,0,0,10,0,0,0,none,-1,1,0
220,1,0,0,0,0,10,0,0,0,none,-1,1,0
216,1,0,0,0,0,10,0,0,0,none,-1,1,0
205,1,0,0,0,0,10,0,0,0,none,-1,1,0
